[Thu Jun 09 17:26:06.271378 2016] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Thu Jun 09 17:26:06.271423 2016] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Thu Jun 09 17:27:34.330892 2016] [:error] [pid 9] [client 172.17.0.4:41361] PHP Parse error:  syntax error, unexpected 'http' (T_STRING), expecting ',' or ';' in /app/index.php on line 2
[Thu Jun 09 17:28:55.002723 2016] [:error] [pid 11] [client 172.17.0.4:41372] PHP Parse error:  syntax error, unexpected 'http' (T_STRING), expecting ',' or ';' in /app/index.php on line 2
[Thu Jun 09 17:32:57.094338 2016] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Thu Jun 09 17:33:03.974323 2016] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Thu Jun 09 17:33:03.974394 2016] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Thu Jun 09 17:45:34.026146 2016] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Thu Jun 09 17:45:34.026191 2016] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Thu Jun 09 17:50:58.931258 2016] [:error] [pid 11] [client 172.17.0.4:41555] PHP Notice:  Undefined index: DB_HOST in /app/db.php on line 2
[Thu Jun 09 17:50:58.931309 2016] [:error] [pid 11] [client 172.17.0.4:41555] PHP Notice:  Undefined index: DB_PASSWORD in /app/db.php on line 4
[Thu Jun 09 17:50:58.931451 2016] [:error] [pid 11] [client 172.17.0.4:41555] PHP Warning:  mysql_connect(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 7
[Thu Jun 09 17:50:58.931504 2016] [:error] [pid 11] [client 172.17.0.4:41555] PHP Warning:  mysql_select_db(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 8
